 avg (temperature), max (temperature), min (temperature), avg (humidity), max (humidity), min (humidity), power, label
26.28,30.6,21.4,70.91,90,50,207.27,1
27.17,31.7,23.6,64.0,78,48,180.59,0
22.95,25.4,19.6,77.74,100,64,207.58,0
21.35,23.1,20.1,97.35,100,92,284.68,0
23.18,26.7,20.1,80.65,93,66,253.76,0
25.23,29.7,21.0,74.09,92,56,381.56,1
26.39,29.0,23.9,77.17,91,67,109.33,0
26.0,29.8,23.9,83.13,95,67,321.2,1
25.48,28.9,23.6,77.43,85,63,200.97,0
25.89,28.9,23.2,78.61,88,65,205.74,0
25.76,27.5,24.1,86.57,92,82,239.05,0
28.02,32.3,23.8,75.35,90,61,280.65,1
28.73,31.2,26.3,75.96,87,64,209.48,1
29.74,33.1,26.1,71.26,89,57,298.0,1
29.38,33.9,26.1,70.87,87,54,328.98,1
28.81,35.0,24.2,67.78,86,48,195.95,0
28.91,32.8,24.7,63.48,80,51,230.54,1
29.69,34.0,25.7,61.96,79,46,127.74,0
26.8,30.2,24.1,77.78,94,63,200.17,1
27.74,31.7,23.7,76.7,93,60,208.02,1
30.45,35.1,25.3,64.83,89,41,239.63,1
31.23,35.7,26.6,59.65,78,40,290.27,1
31.31,35.7,27.2,61.09,73,44,287.92,1
31.69,36.3,26.9,58.3,75,38,241.07,1
31.56,35.7,27.2,55.74,73,40,251.93,1
31.33,35.4,27.5,54.91,71,42,175.79,0
31.07,35.2,27.9,60.13,71,45,251.79,1
30.33,34.5,27.1,66.96,76,52,229.82,1
29.78,33.2,27.1,70.04,84,58,220.86,1
30.44,35.2,25.8,62.83,80,46,222.36,1
29.81,34.2,26.8,70.52,88,53,277.12,1
27.28,28.7,25.3,81.48,95,75,336.16,0
26.49,28.5,25.2,83.09,95,70,346.62,0
27.77,31.3,24.2,77.35,92,62,357.17,1
29.09,32.8,26.4,70.35,87,55,385.72,1
29.33,33.5,25.6,67.87,83,54,341.63,1
28.21,31.9,26.2,68.83,80,58,417.53,1
27.93,32.0,23.4,66.0,83,48,499.36,1
26.8,32.0,24.5,75.61,86,59,414.78,1
28.28,33.6,23.3,62.83,82,44,345.36,1
27.8,31.7,24.3,62.17,70,48,253.14,1
27.4,31.4,24.2,70.09,85,52,322.87,1
26.97,31.1,24.1,67.74,83,52,403.5,1
26.51,30.0,23.4,70.83,84,58,310.42,1
26.27,30.2,23.5,64.35,75,53,322.66,0
